operator,sequence,neptune_schedule,neptune_mean_us,neptune_min_us,library,library_mean_us,library_min_us,library_over_neptune,inductor_rep1_min_us,inductor_rep2_min_us,inductor_mean_min_us,neptune_over_inductor,eager_rep1_min_us,eager_rep2_min_us,eager_mean_min_us,eager_over_inductor
prefill_causal,1024,sch-1-manual,129.297666667,127.169000000,torch(cudnn),95.974600000,92.416000000,0.742276349,121.855996549,122.879996896,122.367996722,1.056629757,120.832003653,121.855996549,121.344000101,0.991631827
prefill_causal,2048,sch-1-manual,375.401466667,374.720000000,torch(cudnn),289.186733333,281.504000000,0.770339913,330.751985312,338.943988085,334.847986698,1.121110120,332.800000906,332.800000906,332.800000906,0.993883834
prefill_causal,4096,sch-1-tuned,1129.779933333,1123.234000000,tridao,978.637200000,946.211000000,0.866219315,1063.935995102,1052.672028542,1058.304011822,1.067538175,1049.600005150,1005.568027496,1027.584016323,0.970972428
prefill_causal,8192,sch-1-manual,4389.272000000,4381.099000000,tridao,3456.753733333,3403.593000000,0.787546029,2890.752077103,3730.432033539,3310.592055321,1.325826899,2985.984086990,3685.375928879,3335.680007935,1.007578086
prefill_causal,16384,sch-1-manual,16581.813800000,16570.827000000,tridao,12856.686333333,12730.563000000,0.775348613,11363.327980042,11373.567581177,11368.447780609,1.458582044,11346.943855286,11334.655761719,11340.799808502,0.997568008
prefill_causal,32768,sch-1-manual,61207.570866667,58142.684000000,torch(flash),47162.498733333,41247.320000000,0.770533744,44994.560241699,45103.103637695,45048.831939697,1.358693849,45084.671020508,45124.607086182,45104.639053345,1.001238814
prefill_gqa,256,sch-0-tuned,35.810200000,34.368000000,torch(cudnn),25.900866667,24.864000000,0.723281821,38.911998272,38.911998272,38.911998272,0.920286842,38.911998272,38.911998272,38.911998272,1.000000000
prefill_gqa,512,sch-0-manual,81.271733333,80.480000000,torch(cudnn),57.551133333,56.352000000,0.708132225,72.704002261,72.704002261,72.704002261,1.117844009,72.704002261,72.704002261,72.704002261,1.000000000
prefill_gqa,1024,sch-0-manual,217.801200000,216.161000000,torch(cudnn),160.745066667,157.120000000,0.738035726,188.416004181,190.464004874,189.440004528,1.149710699,191.487997770,187.391996384,189.439997077,0.999999961
prefill_gqa,2048,sch-0-tuned,619.155000000,618.338000000,torch(cudnn),524.187000000,515.969000000,0.846616760,561.151981354,565.248012543,563.199996948,1.099351924,563.199996948,561.151981354,562.175989151,0.998181804
prefill_gqa,4096,sch-0-tuned,2113.716533333,2109.477000000,tridao,1780.655533333,1750.148000000,0.842428729,1918.975949287,1931.264042854,1925.119996071,1.097966120,1931.264042854,1936.383962631,1933.824002743,1.004521280
prefill_gqa,8192,sch-0-manual,8522.910666667,8519.062000000,tridao,6561.237866667,6515.570000000,0.769835344,5755.904197693,5681.151866913,5718.528032303,1.490402883,5747.712135315,5693.439960480,5720.576047897,1.000358137
prefill_gqa,16384,sch-0-manual,28991.981200000,28777.836000000,tridao,25080.271133333,24886.664000000,0.865076138,22256.639480591,22207.487106323,22232.063293457,1.304061653,22275.072097778,22334.463119507,22304.767608643,1.003270246
prefill_gqa,32768,sch-0-manual,100425.637933333,100221.356000000,tridao,84708.654933333,76799.340000000,0.843496309,88261.634826660,88369.148254395,88315.391540527,1.137124981,88210.433959961,88077.308654785,88143.871307373,0.998057867
decode_causal,256,sch-0-tuned,15.161666667,13.664000000,flashinfer,11.968000000,11.744000000,0.789359129,18.432000652,18.432000652,18.432000652,0.822573032,18.432000652,18.432000652,18.432000652,1.000000000
decode_causal,512,sch-0-tuned,19.027266667,18.656000000,flashinfer,18.513133333,18.112000000,0.972979128,23.552000523,23.552000523,23.552000523,0.807883247,23.552000523,23.552000523,23.552000523,1.000000000
decode_causal,1024,sch-0-tuned,27.483733333,27.104000000,flashinfer,30.884400000,30.112000000,1.123733796,29.696000740,29.696000740,29.696000740,0.925502851,29.696000740,29.696000740,29.696000740,1.000000000
decode_causal,2048,sch-0-tuned,45.495533333,45.088000000,tridao,52.552800000,51.776000000,1.155119990,39.935998619,37.888001651,38.912000135,1.169190306,39.935998619,38.911998272,39.423998445,1.013157851
decode_causal,4096,sch-0-tuned,74.265800000,73.440000000,tridao,83.737733333,82.784000000,1.127540986,67.584000528,67.584000528,67.584000528,1.098866587,68.608000875,68.608000875,68.608000875,1.015151520
decode_causal,8192,sch-0-tuned,122.328000000,121.280000000,tridao,129.066866667,127.552000000,1.055088505,115.712001920,115.712001920,115.712001920,1.057176421,115.712001920,115.712001920,115.712001920,1.000000000
decode_causal,16384,sch-0-tuned,216.661933333,215.680000000,tridao,224.999000000,222.241000000,1.038479610,206.847995520,207.872003317,207.359999418,1.044858864,208.895996213,207.872003317,208.383999765,1.004938273
decode_causal,32768,sch-0-tuned,410.271133333,408.034000000,tridao,410.461000000,407.714000000,1.000462783,395.263999701,396.288007498,395.776003599,1.036624580,397.311985493,395.263999701,396.287992597,1.001293633
decode_gqa,256,sch-0-tuned,13.092400000,12.769000000,tridao,16.663533333,15.072000000,1.272763843,25.599999353,25.599999353,25.599999353,0.511421888,99.327996373,100.351996720,99.839996547,3.899999964
decode_gqa,512,sch-0-tuned,13.634133333,13.344000000,tridao,18.895066667,18.496000000,1.385864888,39.935998619,39.935998619,39.935998619,0.341399584,141.312003136,141.312003136,141.312003136,3.538461739
decode_gqa,1024,sch-0-tuned,16.661400000,15.712000000,tridao,21.504000000,21.056000000,1.290647845,40.959998965,41.983999312,41.471999139,0.401750587,256.000012159,256.000012159,256.000012159,6.172839928
decode_gqa,2048,sch-0-tuned,19.816600000,19.520000000,tridao,30.387333333,29.888000000,1.533428203,57.344000787,57.344000787,57.344000787,0.345574075,478.208005428,481.279999018,479.744002223,8.366071353
decode_gqa,4096,sch-0-manual,30.161200000,29.088000000,tridao,38.545133333,37.408000000,1.277970815,95.232002437,95.232002437,95.232002437,0.316712862,915.455996990,915.455996990,915.455996990,9.612902948
decode_gqa,8192,sch-0-manual,52.887600000,51.456000000,tridao,57.258866667,56.384000000,1.082652014,164.864003658,164.864003658,164.864003658,0.320795315,1772.544026375,1772.544026375,1772.544026375,10.751552716
decode_gqa,16384,sch-0-manual,87.793133333,86.176000000,tridao,88.768333333,87.425000000,1.011107930,313.344001770,316.415995359,314.879998565,0.278814576,3509.248018265,3509.248018265,3509.248018265,11.144715556
decode_gqa,32768,sch-0-tuned,143.217400000,142.080000000,tridao,135.014866667,133.056000000,0.942726698,572.416007519,659.456014633,615.936011076,0.232519933,6705.152034760,7575.551986694,7140.352010727,11.592684763
